Maxim
Tuchkov
6a9960f49c759c4ca3bb5ae5295f87e9
[16.2.2023 | 23:7:8] {"type":"cmd","data":"run"}
,[16.2.2023 | 23:7:8] {"client-id":"2a6007ee-1ba7-4a0f-a2e1-69094a899b64","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[16.2.2023 | 23:7:9] {"client-id":"2a6007ee-1ba7-4a0f-a2e1-69094a899b64","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[16.2.2023 | 23:7:9] {"client-id":"2a6007ee-1ba7-4a0f-a2e1-69094a899b64","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[16.2.2023 | 23:7:9] {"client-id":"2a6007ee-1ba7-4a0f-a2e1-69094a899b64","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[16.2.2023 | 23:7:9] {"client-id":"2a6007ee-1ba7-4a0f-a2e1-69094a899b64","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[16.2.2023 | 23:7:9] {"client-id":"2a6007ee-1ba7-4a0f-a2e1-69094a899b64","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[16.2.2023 | 23:7:9] {"client-id":"2a6007ee-1ba7-4a0f-a2e1-69094a899b64","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[16.2.2023 | 23:7:9] {"client-id":"2a6007ee-1ba7-4a0f-a2e1-69094a899b64","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[16.2.2023 | 23:7:9] {"client-id":"2a6007ee-1ba7-4a0f-a2e1-69094a899b64","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[16.2.2023 | 23:7:9] {"client-id":"2a6007ee-1ba7-4a0f-a2e1-69094a899b64","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[16.2.2023 | 23:7:9] {"client-id":"2a6007ee-1ba7-4a0f-a2e1-69094a899b64","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[16.2.2023 | 23:7:10] {"client-id":"2a6007ee-1ba7-4a0f-a2e1-69094a899b64","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
